tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude,tree_age
24035,Permitted Site,Lophostemon confertus :: Brisbane Box,58 Westbrook Ct,1.0,Sidewalk: Curb side : Cutout,Private,1995-09-05,6.0,3X4,37.7350611,-122.3825356,28.24
14802,DPW Maintained,Lophostemon confertus :: Brisbane Box,1140 McAllister St,2.0,Sidewalk: Curb side : Cutout,DPW,1991-12-03,12.0,4X4,37.77880295,-122.4307504,31.99
29489,DPW Maintained,Lophostemon confertus :: Brisbane Box,1628X Ingalls St,2.0,Sidewalk: Curb side : Cutout,DPW,2006-02-28,8.0,3x3,37.72878105,-122.3843679,17.75
29109,DPW Maintained,Lophostemon confertus :: Brisbane Box,763 Ellis St,1.0,Sidewalk: Curb side : Cutout,DPW,2016-02-06,3.0,3x3,37.78404867,-122.4187186,7.81
11337,DPW Maintained,Lophostemon confertus :: Brisbane Box,1279 Ingalls St,6.0,Sidewalk: Curb side : Cutout,DPW,2007-12-27,3.0,3X3,37.7305664,-122.3820924,15.93
4649,DPW Maintained,Lophostemon confertus :: Brisbane Box,565 Columbus Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2016-03-24,3.0,3X3,37.80009807,-122.4100507,7.69
4474,DPW Maintained,Lophostemon confertus :: Brisbane Box,1513 Church St,1.0,Sidewalk: Curb side : Cutout,Private,1990-02-28,12.0,3x3,37.7465715,-122.4268396,33.75
23064,DPW Maintained,Lophostemon confertus :: Brisbane Box,1157 Valencia St,1.0,Sidewalk: Curb side : Cutout,DPW,1992-04-29,20.0,3X3,37.75433175,-122.4207695,31.59
17035,DPW Maintained,Lophostemon confertus :: Brisbane Box,1160X Oak St,4.0,Sidewalk: Curb side : Cutout,DPW,1997-05-09,6.0,3X3,37.77307325,-122.4384448,26.56
9760,Permitted Site,Lophostemon confertus :: Brisbane Box,745 Gough St,2.0,Sidewalk: Curb side : Cutout,Private,1990-03-05,12.0,3x3,37.78042224,-122.423786,33.74
49180,Permitted Site,Lophostemon confertus :: Brisbane Box,825X 26th St,7.0,Sidewalk: Curb side : Cutout,Private,2003-02-05,4.0,3x3,37.75155581,-122.3877367,20.82
24951,DPW Maintained,Lophostemon confertus :: Brisbane Box,3150 03rd St,1.0,Sidewalk: Curb side : Cutout,DPW,2013-10-03,3.0,1.5x2,37.74991652,-122.3876995,10.16
6258,DPW Maintained,Lophostemon confertus :: Brisbane Box,1338X Ellis St,1.0,Sidewalk: Curb side : Cutout,DPW,2010-12-17,3.0,3X3,37.7829361,-122.4285148,12.95
95756,DPW Maintained,Lophostemon confertus :: Brisbane Box,260 Madrid St,7.0,Sidewalk: Curb side : Cutout,SFUSD,2017-10-25,3.0,3x3,37.7251005,-122.4302695,6.1
19168,DPW Maintained,Lophostemon confertus :: Brisbane Box,96 Sanchez St,1.0,Sidewalk: Curb side : Cutout,DPW,1993-08-16,12.0,3X3,37.76767585,-122.4312856,30.29
4963,DPW Maintained,Lophostemon confertus :: Brisbane Box,5177 Diamond Heights Blvd,3.0,Sidewalk: Curb side : Cutout,DPW,1997-06-10,6.0,3X3,37.7457846,-122.4400582,26.47
204330,DPW Maintained,Lophostemon confertus :: Brisbane Box,1500X Portola Dr,19.0,Median : Cutout,DPW,2012-02-25,3.0,3x3,37.73741455,-122.4683759,11.76
43788,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,117 22nd Ave,1.0,Sidewalk: Curb side : Cutout,Private,2000-07-26,6.0,,37.78554997,-122.4819947,23.35
42849,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1339 Vallejo St,1.0,Sidewalk: Curb side : Cutout,Private,2002-05-18,9.0,,37.79717685,-122.4194028,21.54
2388,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2640 Bryant St,1.0,Sidewalk: Curb side : Cutout,DPW,1999-02-18,6.0,3X3,37.75211615,-122.4091789,24.78
28888,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,425 04th St,1.0,Sidewalk: Curb side : Cutout,DPW,2006-02-11,3.0,3x3,37.78086706,-122.3995889,17.8
47905,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1410 Hayes St,2.0,Sidewalk: Curb side : Cutout,Private,2002-06-21,1.0,,37.77479389,-122.439965,21.44
64454,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2661 Broadway,1.0,Sidewalk: Curb side : Cutout,Private,2008-08-21,4.0,3x3,37.79343886,-122.4408829,15.27
108299,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2898 Clay St,2.0,Sidewalk: Curb side : Cutout,Private,2014-12-15,3.0,,37.78997556,-122.4404651,8.96
33131,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2900 Pierce St,3.0,Sidewalk: Curb side : Cutout,Private,1996-11-05,8.0,,37.79692746,-122.4387522,27.07
63464,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1670 McAllister St,1.0,Sidewalk: Curb side : Cutout,Private,1987-03-19,11.0,,37.77771244,-122.4394917,36.7
81185,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2433 Lawton St,1.0,Sidewalk: Curb side : Cutout,Private,2008-04-07,2.0,3x3,37.75734568,-122.4891523,15.65
46873,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1356 Vallejo St,1.0,Sidewalk: Curb side : Cutout,Private,2002-04-26,12.0,,37.7972692,-122.4196837,21.6
13371,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,910 Mansell St,1.0,Sidewalk: Curb side : Cutout,Private,2007-03-29,3.0,3X10,37.71927006,-122.4103955,16.67
103957,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2465 Washington St,1.0,Sidewalk: Curb side : Cutout,Private,2013-08-01,2.0,3x3,37.79158923,-122.4338658,10.33
102480,Section 143,Magnolia grandiflora :: Southern Magnolia,1456 Chestnut St,1.0,Sidewalk: Curb side : Cutout,Private,2013-01-25,3.0,3x3,37.80203069,-122.4273025,10.84
6823,Permitted Site,Magnolia grandiflora :: Southern Magnolia,1450X Fairfax Ave,5.0,Sidewalk: Curb side : Cutout,Fire Dept,2006-03-30,3.0,3X3,37.74083447,-122.3861797,17.67
85738,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,843 Howard St,1.0,Sidewalk: Curb side : Cutout,DPW,2007-04-30,3.0,3x3,37.78236861,-122.4036709,16.59
30571,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,175 Germania St,1.0,Sidewalk: Curb side : Cutout,Private,1996-12-04,7.0,,37.77053002,-122.4313678,26.99
18403,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1001X Potrero Ave,10.0,Sidewalk: Property side : Cutout,DPW,1991-01-14,10.0,3X3,37.75575065,-122.4064358,32.88
109141,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,722 31st Ave,1.0,Sidewalk: Curb side : Cutout,Private,2015-01-29,3.0,3x3,37.77555587,-122.490776,8.84
41207,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,79 Cervantes Blvd,1.0,Sidewalk: Curb side : Cutout,Private,1999-11-29,8.0,,37.80375371,-122.4387704,24.0
85582,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1486 Palou Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2007-03-21,3.0,3x3,37.73283108,-122.3887046,16.7
12846,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2345 Lake St,1.0,Sidewalk: Curb side : Cutout,Private,2003-05-02,16.0,3X3,37.78567917,-122.4849065,20.58
107404,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1440 Clement St,1.0,Sidewalk: Curb side : Cutout,Private,2014-09-08,3.0,3x3,37.7825638,-122.4748233,9.23
82378,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,223 Lisbon St,1.0,Sidewalk: Curb side : Cutout,Private,2008-06-04,6.0,3x3,37.72467069,-122.4314982,15.49
72384,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,592 Vallejo St,2.0,Sidewalk: Curb side : Cutout,Private,1996-03-02,7.0,,37.79885399,-122.4070716,27.75
85722,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1049 Howard St,2.0,Sidewalk: Curb side : Cutout,DPW,2007-04-30,3.0,3x3,37.77867528,-122.4083385,16.59
72459,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,414 Spruce St,1.0,Sidewalk: Curb side : Cutout,Private,1996-04-13,7.0,,37.78705008,-122.4534505,27.63
51962,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2115 Broderick St,1.0,Sidewalk: Curb side : Cutout,Private,2005-08-10,5.0,,37.79020828,-122.44266,18.31
42605,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2531 Gough St,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-26,6.0,,37.79701341,-122.4271322,23.43
